Week,Yards,TD,Player,Opponent,Location,Result,Index
PRE1,0,0,,TB,Away,Win,1
PRE2,0,0,,WSH,Away,Loss,2
PRE3,0,0,,MIA,Home,Loss,3
REG1,32,32,Boyd,MIN,Home,Win,4
REG1,58,58,Higgins,MIN,Home,Win,5
REG1,101,101,Chase,MIN,Home,Win,6
REG2,73,73,Boyd,CHI,Away,Loss,7
REG2,60,60,Higgins,CHI,Away,Loss,8
REG2,54,54,Chase,CHI,Away,Loss,9
REG3,36,36,Boyd,PIT,Away,Win,10
REG3,65,65,Chase,PIT,Away,Win,11
REG4,118,118,Boyd,JAX,Home,Win,12
REG4,77,77,Chase,JAX,Home,Win,13
REG5,24,24,Boyd,GB,Home,Loss,14
REG5,32,32,Higgins,GB,Home,Loss,15
REG5,159,159,Chase,GB,Home,Loss,16
REG6,7,7,Boyd,DET,Away,Win,17
REG6,44,44,Higgins,DET,Away,Win,18
REG6,97,97,Chase,DET,Away,Win,19
REG7,39,39,Boyd,BAL,Away,Win,20
REG7,62,62,Higgins,BAL,Away,Win,21
REG7,201,201,Chase,BAL,Away,Win,22
REG8,69,69,Boyd,NYJ,Away,Loss,23
REG8,97,97,Higgins,NYJ,Away,Loss,24
REG8,32,32,Chase,NYJ,Away,Loss,25
REG9,11,11,Boyd,CLE,Home,Loss,26
REG9,78,78,Higgins,CLE,Home,Loss,27
REG9,49,49,Chase,CLE,Home,Loss,28
REG10,0,0,,,,,29
REG11,49,49,Boyd,LV,Away,Win,30
REG11,15,15,Higgins,LV,Away,Win,31
REG11,32,32,Chase,LV,Away,Win,32
REG12,13,13,Boyd,PIT,Home,Win,33
REG12,114,114,Higgins,PIT,Home,Win,34
REG12,39,39,Chase,PIT,Home,Win,35
REG13,85,85,Boyd,LAC,Home,Loss,36
REG13,138,138,Higgins,LAC,Home,Loss,37
REG13,52,52,Chase,LAC,Home,Loss,38
REG14,55,55,Boyd,SF,Home,Loss,39
REG14,114,114,Higgins,SF,Home,Loss,40
REG14,77,77,Chase,SF,Home,Loss,41
REG15,96,96,Boyd,DEN,Away,Win,42
REG15,23,23,Higgins,DEN,Away,Win,43
REG15,3,3,Chase,DEN,Away,Win,44
REG16,85,85,Boyd,BAL,Home,Win,45
REG16,194,194,Higgins,BAL,Home,Win,46
REG16,125,125,Chase,BAL,Home,Win,47
REG17,36,36,Boyd,KC,Home,Win,48
REG17,62,62,Higgins,KC,Home,Win,49
REG17,266,266,Chase,KC,Home,Win,50
REG18,26,26,Chase,CLE,Away,Loss,51
POST1,26,26,Boyd,LV,Home,Win,52
POST1,10,10,Higgins,LV,Home,Win,53
POST1,116,116,Chase,LV,Home,Win,54
POST2,17,17,Boyd,TEN,Away,Win,55
POST2,96,96,Higgins,TEN,Away,Win,56
POST2,109,109,Chase,TEN,Away,Win,57
POST3,19,19,Boyd,KC,Away,Win,58
POST3,103,103,Higgins,KC,Away,Win,59
POST3,54,54,Chase,KC,Away,Win,60
POST4,48,48,Boyd,LAR,Neutral,Loss,61
POST4,100,100,Higgins,LAR,Neutral,Loss,62
POST4,89,89,Chase,LAR,Neutral,Loss,63
